ID,Health,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),time of kills,total kills,total deaths,avg kill time,assists,team,positioning type,last x,last y,alone kills,distance to A bomb (on kill list),Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled
7.65612E+16,0,1676,12,10,2,0,0,0,9,3,3,"[411.9925, 430.1512, 434.3705, 635.8975, 956.7528, 1005.916, 1274.201, 1275.264, 1429.0970000000002, 2076.246, 2450.1710000000007, 2706.205]",12,11,208.5647727,20,CounterTerrorist,VIC,167.8208025,299.5097862,4,"[428.86794793653974, 156.2499479403274, 84.38354347239256, 591.4649734838064, 170.9298673148685, 704.5770851912639, 532.2333249594368, 531.4494050734706, 247.68046441647428, 581.0266110184411, 652.4347464418969, 96.32644511040141]",178.333727,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,9994.615738
7.65612E+16,0,1203,13,9,0,0,3,1,12,1,5,"[378.7693, 1029.481, 1038.295, 1258.512, 1399.781, 1400.875, 1884.877, 1898.535, 2483.176, 2535.057, 2541.152, 2649.542, 2769.651]",13,10,199.2401417,17,CounterTerrorist,VIC,176.6365061,374.2362214,0,"[622.1306562703985, 343.0577829830247, 328.567676591483, 190.8079928858888, 98.13991258168143, 98.56853255016101, 385.48395973967666, 183.62341846732912, 462.6982925747825, 100.89459124439449, 89.34509755320441, 262.34600799756623, 589.7208439662537]",196.539324,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,2,5136.60411
7.65612E+16,0,863,6,1,2,2,1,0,5,1,4,"[392.7087, 584.5156, 1022.73, 1432.848, 2441.92, 2556.592]",6,10,432.77666,11,CounterTerrorist,VIC,152.7293305,305.2665276,0,"[254.45495557764897, 174.72193923642726, 239.97187597330776, 187.05901821714585, 648.300835300078, 122.64527298638542]",406.4147235,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,2,5299.299559
7.65612E+16,0,1045,9,4,0,2,3,0,8,1,5,"[587.641, 588.7349, 592.5167, 933.8123, 1260.856, 1807.992, 1911.38, 2067.495, 2767.495]",9,11,272.48175,14,CounterTerrorist,VIC,242.76766,349.0002521,0,"[176.30017271646602, 176.03464816320448, 84.91765554191775, 85.66935468277708, 124.44841010784778, 371.8481697506366, 215.17066455231782, 379.20751974342033, 526.2553965432561]",316.226153,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,4409.343195
7.65612E+16,36,1922,22,7,13,1,1,0,22,0,5,"[941.7195, 943.626, 946.7202, 1261.95, 1424.19, 1822.962, 1891.315, 1900.91, 2376.505, 2381.131, 2436.138, 2464.235, 2529.244, 2650.323, 2658.761, 2661.168, 2664.262, 2696.923, 2701.08, 2783.778, 2788.466, 2792.623]",22,8,88.1382619,19,CounterTerrorist,ATT,178.8290521,235.377188,3,"[212.52091143720597, 217.4640391407503, 172.6813406247611, 373.3382855728446, 117.31879716541475, 271.9297110225878, 187.36564467346997, 93.71561735071984, 541.1118888554769, 530.0761714993447, 414.8333655819928, 546.0026139302917, 330.0884396360731, 144.97076154858908, 69.67095711294083, 61.85500455948943, 87.6272000939106, 245.9459134196676, 187.31534987684685, 661.0383722006496, 660.0977123624465, 667.4405758799854]",109.8011031,1,2,0,0,0,0,1,0,1,2,0,2,1,1,2,2,0,0,0,0,0,0,3,6575.946704
7.65612E+16,0,1910,18,3,15,0,0,0,18,0,5,"[366.8615, 932.3121, 1403.75, 1432.41, 2076.559, 2086.435, 2088.373, 2090.467, 2348.22, 2433.137, 2653.636, 2657.355, 2695.016, 2704.705, 2706.768, 2708.7990000000004, 2768.2140000000004, 2781.1220000000008]",18,12,142.0153235,20,Terrorist,VIC,180.700163,459.6941485,2,"[616.8264566711725, 124.50049147041616, 255.7753967167534, 156.0658968774736, 208.166311246008, 337.61308835788594, 345.5426344168165, 352.4496975731245, 336.6749214622016, 337.22757300312037, 223.90691041340432, 223.07809706659668, 338.55060546358635, 216.67814687635968, 212.00927414876236, 212.0111072282021, 416.7146276410541, 500.3942124983071]",135.166368,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,4,4645.078759
7.65612E+16,0,845,6,1,0,1,4,0,5,1,4,"[388.6769, 585.4532, 955.2839, 1822.368, 2538.714, 2654.855]",6,13,453.23562,12,Terrorist,VIC,180.1233769,354.0376975,2,"[200.1338898489309, 232.81224293148233, 40.20913948044633, 243.4917402087017, 103.80720271830018, 49.67290846496363]",423.1434237,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3344.948197
7.65612E+16,0,912,5,0,1,1,3,0,5,0,3,"[394.6777, 400.366, 1030.169, 2365.253, 2458.703]",5,14,516.006325,12,Terrorist,VIC,349.4249764,249.6012792,0,"[206.15624408785914, 167.0325067305459, 415.33054115988205, 308.44000550682955, 537.115983147778]",598.7462598,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4843.189904
7.65612E+16,0,975,10,9,0,1,0,0,10,0,5,"[935.4374, 1813.43, 1814.461, 1824.025, 1899.379, 2363.003, 2402.634, 2534.651, 2721.77, 2790.873]",10,12,206.1595111,10,Terrorist,VIC,176.8732899,398.753215,4,"[188.6932966203901, 548.5835263083377, 543.4996216657489, 577.6520481304209, 446.3161206583533, 417.85078314969087, 522.5498876379887, 406.8307497151741, 183.6073609814461, 540.5112039238978]",245.2503897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5040.719181
7.65612E+16,0,903,11,7,0,3,1,0,6,5,5,"[1040.233, 1043.264, 1101.928, 1110.148, 1840.215, 1905.473, 2091.373, 2354.189, 2554.748, 2577.063, 2764.963]",11,11,172.473,4,Terrorist,VIC,234.125651,354.2299388,6,"[427.5570111395945, 410.7577050432994, 239.29383130481145, 169.28967794648767, 420.2530079052761, 327.7527990312545, 704.0530957037436, 700.730342856038, 173.3121221846331, 38.719701017861325, 670.172553039443]",196.7345542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,5595.503017
7.65612E+16,-5,239,4,2,0,0,2,0,2,2,4,"[427.4019, 549.5614, 1678.63, 1678.724]",4,3,417.1073667,5,CounterTerrorist,VIC,463.7233413,222.9215969,0,"[685.0904853652142, 479.70495058174726, 570.6027790421249, 570.8562647392899]",379.0292931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.507966
7.65612E+16,-13,429,11,7,0,0,4,0,10,1,5,"[571.13, 637.2112, 645.0571, 1135.914, 1161.797, 1162.172, 1597.3570000000002, 1656.999, 1657.249, 1666.314, 1681.475]",11,4,111.0345,9,CounterTerrorist,VIC,538.4849844,264.6717469,1,"[108.5134074575086, 239.90620881266088, 300.88836681245016, 335.49230196426225, 335.3845414385096, 335.6129494670076, 133.60432689584005, 639.707561149499, 639.5812281707935, 519.0009073010385, 530.4413070172004]",153.22729,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2293.583256
7.65612E+16,11,1037,10,10,0,0,0,0,10,0,5,"[565.0345, 610.5161, 970.2739, 1133.007, 1554.126, 1601.296, 1609.892, 1609.986, 1654.28, 1672.754]",10,4,123.0799444,11,CounterTerrorist,ATT,254.7615769,406.2899396,0,"[154.26754661541634, 118.67578438361697, 300.39121435472026, 222.22996196397472, 426.33906727905077, 92.51412904101024, 98.75207105083304, 98.70016397923173, 547.0846760062668, 484.84210071738306]",159.8104505,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,2399.630806
7.65612E+16,61,671,5,2,2,0,1,0,4,1,5,"[617.7056, 624.4888, 933.4823, 941.3596, 1692.322]",5,4,268.6541,7,CounterTerrorist,ATT,330.9083252,266.3117384,0,"[372.92813018273955, 313.287875993959, 279.5347025917644, 266.421706390578, 566.022349190322]",316.9276548,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1303.824482
7.65612E+16,100,818,19,19,0,0,0,0,19,0,4,"[571.7864, 578.1945, 944.5479, 944.6417, 944.8918, 945.1731, 945.6107, 948.7679, 1136.571, 1179.989, 1199.276, 1199.37, 1199.714, 1599.8270000000002, 1610.736, 1610.83, 1610.924, 1611.017, 1659.25]",19,3,60.41464444,9,CounterTerrorist,ATT,812.1131973,248.2171769,4,"[341.2513255052678, 365.7728237283558, 378.504180046838, 378.504180046838, 378.504180046838, 378.504180046838, 377.8122433567983, 384.6798449187913, 509.48152893512196, 443.1879236167832, 617.9817367538056, 617.9817367538056, 617.9817367538056, 316.5167168453582, 127.4893990624602, 127.4893990624602, 127.4893990624602, 127.4893990624602, 594.1074644822921]",74.46220772,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2984.633551
7.65612E+16,0,265,2,0,2,0,0,0,2,0,5,"[411.585, 1149.543]",2,6,737.958,4,Terrorist,VIC,266.8445373,336.4730576,1,"[328.0322692107728, 335.3561354226134]",745.2818662,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1854.86256
7.65612E+16,0,716,6,4,0,0,2,0,6,0,3,"[441.062, 567.5665, 969.4925, 1133.257, 1598.889, 1610.142]",6,12,233.816,7,Terrorist,VIC,247.6850162,463.1339263,0,"[271.2190947302408, 139.39913909605494, 328.23179906246185, 375.2489439558516, 65.25633166809885, 54.105530773188576]",190.3932872,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1835.116769
7.65612E+16,0,450,3,3,0,0,0,0,3,0,5,"[419.2746, 1550.844, 1572.1]",3,7,576.4127,5,Terrorist,VIC,726.3523088,235.2416686,0,"[362.0708391379863, 273.62539699500815, 125.23671679088156]",457.9956388,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907.638494
7.65612E+16,-100,716,7,5,0,0,0,0,5,2,4,"[430.9654, 547.7172, 638.7741, 944.3604, 1162.297, 1679.443, 1683.757]",7,23,208.7986,9,Terrorist,VIC,309.1152334,200.17125,1,"[335.4526406954131, 272.72555065481606, 310.46733221308364, 386.5563730969741, 372.0191698795709, 523.0739941469227, 538.3913524838862]",242.6217186,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2641.346474
7.65612E+16,100,9,1,0,0,1,0,0,1,0,3,[441.9998],1,2,0,0,Terrorist,VIC,445.2772261,429.3582039,0,[313.7282036982886],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.977944
