damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled,Role,id
363,2,1,0,1,0,0,2,0,5,2,7,1848.6179,6,0,1507.026531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3114.1808530000003,,76561198186706253
302,3,1,1,0,1,0,2,1,5,3,4,940.51435,1,0,713.3121934999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1933.158361,,76561198337923460
511,5,1,4,0,0,0,4,1,5,5,9,201.443025,6,0,151.14073290000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2456.4429010000003,,76561198205091101
775,5,4,0,1,0,0,5,0,5,5,8,163.162625,7,0,96.47002967,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293.7597170000004,,76561198103031594
817,7,2,2,0,3,0,7,0,5,7,8,150.35565,10,1,93.36511094,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,2893.583614,,76561198179109297
791,7,2,3,0,2,0,7,0,5,7,8,232.9488667,9,0,248.47542819999995,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3340.945043,,76561198153902838
604,6,4,2,0,0,0,6,0,5,6,8,204.19974,9,2,249.7366459,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3845.3054049999996,,76561198075516625
462,2,1,1,0,0,0,2,0,5,2,8,246.638,7,0,308.901143,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2896.585761,,76561197960400760
1032,11,3,7,1,0,0,9,2,5,11,4,158.96032,10,0,155.4054908,1,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,3876.392193,,76561198080432896
680,6,0,3,3,0,0,6,0,5,6,8,191.08488,8,4,164.967275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3940.678833,,76561198116690447
1381,13,9,2,2,0,0,12,1,4,13,6,90.20135833,11,3,80.08132998,0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,4303.466651,,76561197960973277
715,9,4,3,2,0,0,7,2,4,9,4,195.7623375,1,1,206.2015047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608.184715,,76561198268411464
943,9,9,0,0,0,0,7,2,4,9,3,114.9759125,13,3,116.77187479999999,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,1065.2972630000002,,76561198271543248
1006,9,7,0,0,2,0,7,2,5,9,8,115.2298375,11,1,144.4831118,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,3198.171632,,76561198202204342
813,8,2,5,0,0,1,7,1,5,8,6,137.22368569999998,7,0,105.29681129999999,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1589.949778,3.0,76561197960973277
463,7,6,0,0,1,0,7,0,2,7,4,162.3291,5,3,218.6739926,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2622.790877,,76561198211983321
659,5,4,0,0,1,0,5,0,5,5,5,121.8445,11,0,141.336671,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2793.298413,,76561198262696393
560,5,4,1,0,0,0,3,2,5,5,8,223.16925,8,1,281.5663414,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3148.6185219999998,,76561198049391918
400,4,4,0,0,0,0,3,1,3,4,8,303.3101,6,2,327.7237439,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,3,3486.9650899999997,,76561198051425587
674,6,6,0,0,0,0,6,0,5,6,7,208.59143999999998,9,4,214.4781676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4635.749163,,76561198084443857
523,4,4,0,0,0,0,2,2,4,4,8,302.83099999999996,6,0,346.6859623,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2454.14922,,76561198031659297
762,7,3,2,2,0,0,6,1,3,7,7,118.49221670000001,3,2,92.42854769,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,3444.3094880000003,,76561198054370052
710,5,5,0,0,0,0,5,0,5,5,9,121.45875,7,2,75.49464159,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3153.265891,,76561198254945411
785,9,2,1,0,6,0,4,5,4,9,8,199.0414125,12,2,261.17611009999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5213.759722,,76561198355705239
917,7,7,0,0,0,0,5,2,5,7,8,258.2627667,10,2,176.0507826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5978.143816,,76561198013586664
431,5,4,1,0,0,0,1,4,5,5,8,208.6558,7,2,176.1774542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,5033.506489,,76561198273274502
1222,14,8,3,2,1,0,11,3,5,14,4,135.8683462,14,3,132.3183047,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,4,1,0,2,0,4724.982516,,76561198267370957
860,8,6,0,1,0,0,4,4,5,8,6,183.88628569999997,9,4,228.37857689999998,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2844.3977059999997,,76561198215017448
652,5,5,0,0,0,0,5,0,4,5,6,394.856,8,2,409.7701695,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2558.741732,,76561198288888009
706,6,4,2,0,0,0,5,1,3,6,6,349.24462,9,0,348.5082675,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3297.152834,,76561198380363897
794,9,8,0,0,1,0,6,3,3,9,5,215.4729625,1,1,232.123063,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,4222.005725,,76561198203664789
1843,16,10,3,2,0,0,9,7,5,16,12,148.84749330000002,17,4,119.7609409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,4,8382.781069,,76561198374674794
1173,10,4,3,1,2,0,7,3,4,10,14,228.7811,14,1,198.946598,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,2,6297.678522,,76561198275453655
975,7,2,3,0,2,0,6,1,4,7,12,237.44725,12,0,226.26215840000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,5703.9084729999995,,76561198411101714
1190,11,7,2,2,0,0,8,3,5,11,11,225.22464,11,3,204.0958995,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,4325.807294,,76561198256086583
636,8,4,0,0,4,0,6,2,5,8,10,319.8518714,11,0,276.2675685,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4915.610758,,76561198409046381
3096,29,8,12,3,5,1,25,4,5,29,8,88.07580714,33,13,79.93816509,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,3,6956.553937000001,3.0,76561198315839914
424,3,1,1,1,0,0,2,1,5,3,13,1207.2135,8,1,1007.092042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4332.379123,,76561198360655109
2040,23,7,2,2,12,0,17,6,3,23,9,110.25383640000001,21,0,115.4639578,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,1,1,2,1,0,0,0,3,6080.6971109999995,,76561198356778379
540,2,1,1,0,0,0,1,1,3,2,9,857.7545,7,0,720.1930894999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4979.214269,,76561198380519872
927,7,7,0,0,0,0,5,2,5,7,10,271.54955,11,1,316.80141089999995,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4647.869841,,76561198304820381
1566,13,8,4,0,1,0,12,1,5,13,10,164.91870830000002,18,3,164.20863459999998,0,1,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,3225.636431,2.0,76561198000743634
919,7,1,1,0,5,0,7,0,4,7,12,237.18331669999998,9,0,227.80938819999997,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,2452.476646,,76561198093394730
555,4,2,2,0,0,0,2,2,3,4,10,611.7691,9,1,624.9038937999999,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4752.191906,,76561198274569450
889,10,7,1,1,1,0,9,1,5,10,10,170.87816669999998,11,1,146.8455711,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,1,3078.062875,,76561198048782331
537,4,4,0,0,0,0,4,0,5,4,9,625.0220333,7,1,599.6137623,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3721.831355,,76561198254841440
1778,19,14,4,1,0,0,17,2,4,19,9,109.4630389,16,2,119.96155630000001,1,0,2,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,2,0,1,1,1,5458.803377,1.0,76561198287639229
1084,12,5,7,0,0,0,10,2,3,12,6,147.4188909,11,2,156.7774821,3,0,0,0,1,0,0,0,0,2,0,1,1,1,3,0,0,1,0,0,0,0,2,3870.7142710000003,,76561198264606703
872,7,6,0,0,0,1,7,0,5,7,9,290.8243667,10,0,261.6707515,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,3197.7071899999996,,76561198249681790
1035,9,9,0,0,0,0,9,0,5,9,7,211.5152875,4,0,236.713954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,1,2780.394322,,76561198249081172
694,4,4,0,0,0,0,4,0,4,4,7,697.2925667000001,9,0,789.1626175,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3007.6765530000002,,76561198088140483
683,7,3,4,0,0,0,5,2,4,7,5,283.4608167,9,0,340.4992371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2571.39243,,76561198247675172
659,5,4,0,1,0,0,3,2,5,5,7,334.39875,8,0,195.15097219999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1549.708168,,76561198262727977
518,6,4,1,0,1,0,5,1,3,6,6,338.46504,8,0,293.2958577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3314.3772519999998,,76561198076248133
768,7,3,4,0,0,0,5,2,5,7,5,314.4673833,8,2,273.1400355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2802.618154,,76561198324877049
495,4,1,2,0,0,1,3,1,5,4,6,573.2977,8,1,637.935481,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2995.6779899999997,,76561198387770063
491,3,3,0,0,0,0,2,1,5,3,7,229.87655,6,0,384.36711,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2683.198824,,76561198337288568
839,7,4,3,0,0,0,6,1,5,7,5,250.04223330000002,8,1,149.9652354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2805.669575,,76561198305235533
895,9,6,2,0,0,1,5,4,4,9,7,181.628125,9,3,115.15326270000001,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3280.33171,,76561198338342304
702,8,6,2,0,0,0,4,4,3,8,5,180.36837140000003,2,3,183.0227062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2507.038968,4.0,76561198216514259
847,8,6,2,0,0,0,6,2,5,8,6,301.8214,9,1,296.72031400000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3870.219596,,76561198258189979
708,5,2,3,0,0,0,5,0,4,5,6,381.10415,12,1,321.7006523,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2631.754284,,76561198007428623
748,9,4,5,0,0,0,9,0,4,9,7,231.7627,8,2,257.93616549999996,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,4873.728915,,76561198257676544
1463,16,15,1,0,0,0,15,1,3,16,6,163.8186667,16,3,133.0939357,0,1,0,1,0,0,0,0,0,0,0,3,3,1,2,0,0,0,1,0,0,0,3,5531.689784,,76561198264053133
578,2,2,0,0,0,0,1,1,5,2,8,1407.78,7,0,2054.418527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2661.595488,,76561197977645221
575,5,2,2,1,0,0,5,0,5,5,9,601.287625,9,2,574.5432837999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3531.511236,,76561198269068585
1597,14,6,8,0,0,0,12,2,5,14,7,144.27,18,0,160.89694440000002,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,6472.667531,,76561197997050283
535,6,5,0,0,1,0,5,1,5,6,9,356.838,10,3,352.9590208,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,3,2731.2459010000002,,76561198017538709
811,7,6,0,0,1,0,6,1,5,7,8,277.6445,11,1,297.8994212,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,3795.716912,,76561198295868894
1125,13,12,0,0,1,0,9,4,5,13,12,207.4349583,16,2,226.69297949999998,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,7745.899463,,76561198111851256
464,2,1,0,0,1,0,2,0,5,2,9,424.9673,10,0,6.890305731000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5588.117353000001,,76561198084662343
1482,18,15,0,1,2,0,12,6,4,18,9,142.6549118,20,6,123.7577642,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,0,1,0,0,0,0,3,6490.152765999999,,76561198138937855
1758,11,7,1,0,2,1,11,0,5,11,13,239.97179,19,0,237.01456710000002,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,6486.093835000001,,76561197995808190
1330,13,7,4,1,1,0,9,4,5,13,8,207.348925,13,2,205.71437859999997,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,1,0,1,0,0,0,0,4,7221.8300659999995,,76561198048057486
911,7,4,2,0,1,0,6,1,5,7,11,398.8119333,12,4,355.1810017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,3,7207.520949,4.0,76561198085951569
898,10,7,0,0,3,0,5,5,5,10,13,192.03867780000002,10,2,192.4668446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5553.284247,,76561198076815693
880,7,6,1,0,0,0,4,3,5,7,11,310.9935,12,2,306.2718787,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4087.133872,,76561198081457328
1074,10,3,4,1,1,1,9,1,4,10,11,296.8372889,13,1,280.54906960000005,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,5617.540851,,76561197969862041
1597,17,9,6,0,2,0,13,4,3,17,11,166.0175063,5,3,143.21441230000002,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,1,0,1,4950.149175,,76561197995942012
1274,12,11,0,1,0,0,7,5,5,12,8,160.62531819999998,14,2,157.6354789,0,1,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,3,4453.857744,,76561198041454856
1060,11,4,5,0,2,0,9,2,5,11,10,210.7758,12,0,206.1791831,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,4969.017657,,76561198098776450
1397,13,11,0,0,2,0,13,0,4,13,12,195.72340830000002,15,0,206.62358899999998,1,1,0,1,0,0,0,0,0,4,0,0,1,1,3,0,0,0,0,0,0,0,2,6062.4070520000005,2.0,76561198053635563
1261,13,11,1,0,1,0,9,4,4,13,6,197.47375,11,4,213.3906086,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,1,5550.805205,,76561198079035022
738,6,6,0,0,0,0,6,0,5,6,11,450.70744,12,2,534.650352,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,6737.4285390000005,,76561198076082211
723,6,1,5,0,0,0,6,0,5,6,11,395.20274,9,2,352.2475694,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3627.586739,,76561198143656685
984,8,6,1,0,1,0,8,0,5,8,12,318.3706571000001,13,1,366.8996717,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,3,4920.481328,,76561198087652540
1058,10,7,0,1,2,0,8,2,3,10,10,233.0180444,10,4,231.59307230000002,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,2,4365.833013,,76561198254565037
1308,14,8,3,3,0,0,6,8,3,14,10,159.0289385,14,5,141.9316489,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,4900.608921999999,,76561198020643369
813,8,6,1,1,0,0,4,4,5,8,11,187.84057140000002,4,3,206.8585228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3843.0183409999995,,76561198215467459
1750,17,8,4,3,2,0,17,0,5,17,12,161.6824062,17,5,189.41255969999997,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,6,7533.508156999999,,76561198038958852
993,10,6,4,0,0,0,10,0,5,10,12,236.5897333,13,3,264.8027373,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,6770.201749,,76561198014341663
1192,12,11,0,0,1,0,10,2,4,12,10,236.7598364,14,6,283.57870510000004,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,3,7088.355059,,76561198110191166
758,4,2,0,0,2,0,4,0,5,4,13,156.4023333,15,0,160.5030643,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4018.329927,,76561198012517491
619,4,2,0,1,1,0,4,0,5,4,13,654.4366667,12,0,656.92601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6273.091950999999,,76561198078795845
1101,14,11,0,0,3,0,10,4,5,14,9,200.2270923,15,7,220.27259730000003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,6681.492379,,76561198319082120
1526,13,6,1,1,4,1,12,1,4,13,12,216.9413,16,0,246.41943270000002,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,5083.025554999999,,76561198143178976
1278,12,2,9,1,0,0,12,0,3,12,10,201.9754364,16,4,203.2515246,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,5943.8833859999995,,76561198171616777
1537,15,8,5,0,2,0,15,0,3,15,8,171.14805,20,2,213.8948909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,7344.662214,,76561198166260620
1005,7,4,1,0,2,0,7,0,5,7,9,370.28305,9,4,383.4736014,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,2,3036.024047,,76561198051942833
798,7,7,0,0,0,0,5,2,5,7,8,163.1984167,9,2,215.5971359,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,4220.403657,,76561198118718180
866,10,10,0,0,0,0,4,6,4,10,6,105.7253889,11,3,118.0395331,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4478.570245,,76561198065350259
1752,16,6,10,0,0,0,11,5,3,16,5,95.86238,18,7,108.72032490000001,0,0,0,0,0,2,0,0,0,4,1,0,0,0,1,0,2,0,0,0,0,1,1,3861.4673799999996,3.0,76561198155115183
313,3,1,2,0,0,0,3,0,5,3,10,614.76015,4,1,515.1695101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2575.858996,,76561198078958929
530,4,4,0,0,0,0,4,0,5,4,10,126.431,8,0,249.47864049999998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3131.014209,,76561198082509147
1038,8,8,0,0,0,0,8,0,5,8,8,183.2231571,13,0,196.7168638,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4743.782733,,76561197980475122
680,7,5,1,0,0,1,5,2,4,7,8,240.9427667,10,1,339.19439700000004,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,3,3729.868603,,76561198070320883
835,9,7,0,0,2,0,8,1,5,9,10,182.16825,11,1,147.6155662,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5431.912215,,76561198066896068
965,8,2,4,2,0,0,8,0,4,8,8,168.5908143,9,2,165.5119766,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4180.890606,,76561197995434036
553,7,4,0,2,0,1,5,2,5,7,6,235.1029833,4,1,212.83797859999999,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,3621.160955,,76561198003335554
800,6,6,0,0,0,0,5,1,5,6,8,252.717,9,0,194.8005416,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4676.564599,,76561198063220222
616,3,1,0,0,1,1,3,0,5,3,9,371.0681,14,1,512.1872991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5037.133077,,76561198054201588
929,11,3,7,0,1,0,9,2,4,11,8,94.79155,8,1,140.3793957,0,0,0,0,0,4,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,2670.6925929999998,,76561198000241236
1442,11,8,0,2,0,1,11,0,3,11,9,136.83189,15,0,143.8705167,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4417.94049,,76561198215579697
1260,14,13,0,1,0,0,7,7,3,14,4,100.80751540000001,10,3,126.9593106,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,4948.788515,,76561198101175841
1120,9,8,1,0,0,0,8,1,5,9,9,175.415475,13,1,174.7675285,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,4673.815496,,76561198015865496
388,5,0,1,0,4,0,3,2,5,5,10,215.405525,6,0,136.3487635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5671.647631,1.0,76561197993917651
1168,12,7,0,0,5,0,8,4,4,12,7,124.63693640000001,12,6,113.7318568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,6093.415744,4.0,76561197960488729
840,6,5,1,0,0,0,6,0,5,6,9,136.713,11,0,72.57878925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5690.503315999999,,76561198007690357
708,6,4,0,0,2,0,6,0,5,6,10,149.75871999999998,5,1,143.8944148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,4775.8296,,76561198011073592
1831,16,11,4,0,1,0,13,3,5,16,11,143.75648669999998,20,5,150.5921046,2,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,4,5328.9096119999995,4.0,76561198101906855
1166,10,5,3,2,0,0,10,0,5,10,11,185.30615559999998,15,1,205.5640503,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,2,0,0,0,2,7094.874357,,76561198200143282
838,4,4,0,0,0,0,3,1,5,4,11,522.3435667,12,2,527.3155427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874.802847,,76561198374792726
1166,18,0,4,0,0,1,14,4,5,18,11,122.54587649999999,14,8,126.62851459999999,0,1,0,0,1,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,7516.617843999999,,76561197960372755
1393,15,13,0,0,2,0,14,1,5,15,11,156.3664929,15,2,163.2348175,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,7638.633725,,76561198019231558
1383,13,13,0,0,0,0,9,4,5,13,12,171.8904417,14,0,177.12643169999998,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,1,3,1,0,0,0,2,4487.470111,2.0,76561197984239889
1442,14,12,1,1,0,0,13,1,4,14,7,159.22824619999997,14,2,175.4951698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,5488.603396,,76561198111636357
1388,11,11,0,0,0,0,10,1,4,11,8,201.35891999999998,17,5,178.4214577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,5986.796163,,76561197961394195
805,5,0,1,3,0,1,4,1,5,5,12,488.091525,5,1,543.0111015,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4393.778345000001,,76561198124079905
1256,8,8,0,0,0,0,8,0,4,8,10,319.35984289999993,14,0,303.47276539999996,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,4,0,0,0,1,3952.0978649999997,,76561198388180430
1155,15,13,1,0,0,1,9,6,5,15,9,190.1868071,18,7,189.1334422,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,5,7498.729142,0.0,76561198391236513
937,7,7,0,0,0,0,6,1,5,7,9,345.4178167,14,2,334.764803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4132.3411719999995,,76561198286146056
1153,10,8,0,0,2,0,10,0,5,10,9,260.4822444,14,0,253.56754320000002,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,3,3562.8504700000003,,76561198388987416
1187,10,8,0,1,1,0,9,1,5,10,11,252.3184444,16,2,257.2545589,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,2,4927.162202,2.0,76561198198614667
940,9,8,0,0,0,0,9,0,5,9,12,334.2606125,11,2,316.8764068,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,2,4296.757074,,76561198320069820
