"ID","damage","kills","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","fast_kill_rating..first_kill.","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","times.in.catwalk_box","times.in.topmid_box","times.in.chair_box","times.in.midlane_box","times.in.underpass_box","times.in.window_box","times.in.stairs_box","times.in.tetris_box","times.in.sandwhich_box","times.in.Asite_box","times.in.firebox_box","times.in.jungle_box","times.in.connector_box","times.in.opening_box","times.in.opening2_box","times.in.A_main_box","times.in.T_ramp_box","times.in.hell_box","times.in.palace_box","times.in.pillars_box","times.in.ticket_box","times.in.CT_ramp_box","alone_death","total_distance_traveled","Role"
76561198240406896,572,5,4,1,0,0,0,4,1,5,5,10,404.67895,9,2,530.3806113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4208.362974,4
76561198347812496,1351,11,7,0,0,3,1,11,0,3,11,10,182.74045,7,2,166.2428089,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,5400.988171,2
76561198004349792,637,4,4,0,0,0,0,4,0,5,4,9,269.8881,7,1,272.262866,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4341.169776,2
76561198218834592,806,8,2,6,0,0,0,6,2,5,8,8,170.4789,9,2,226.5523114,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2948.474777,3
76561198002090304,817,8,6,2,0,0,0,8,0,4,8,7,211.0970286,10,4,214.7452157,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,1,3845.21364,2
76561198052089696,774,5,4,1,0,0,0,4,1,4,5,8,399.268675,10,0,489.1887482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3134.434685,2
76561197973694704,947,9,9,0,0,0,0,9,0,3,9,8,194.2857125,10,1,184.1562917,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3821.310531,4
76561198265125600,844,6,3,1,2,0,0,3,3,3,6,7,323.29682,14,0,384.9220436,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3338.65695,0
76561198289131904,911,8,7,0,0,0,1,5,3,5,8,7,190.1249571,9,2,215.8188201,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3532.322793,2
76561198273673408,1111,14,4,3,7,0,0,13,1,5,14,6,117.1971077,13,3,98.55475384,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3827.675115,1
76561198201955008,470,4,3,0,0,1,0,4,0,5,4,8,212.8473333,6,0,322.8841546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3590.001256,0
76561198130725904,850,8,5,0,3,0,0,5,3,2,8,6,226.8765143,6,4,271.3195827,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3425.093537,2
76561198351330000,239,3,0,0,0,3,0,3,0,5,3,3,0.1408,2,0,3.548079769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,326.3830968,1
76561198160354592,387,4,1,1,0,2,0,4,0,4,4,1,147.0143,4,1,62.52121278,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1233.707152,1
76561198398366000,310,4,0,0,0,4,0,3,1,3,4,2,120.0872333,5,1,55.85993144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1325.849252,1
76561198165650096,515,6,6,0,0,0,0,6,0,5,6,2,49.67638,4,0,49.54815332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1671.253473,1
76561198257314704,326,5,5,0,0,0,0,5,0,5,5,2,50.355275,2,0,66.71445963,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1159.509937,1
76561198004500992,126,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,670.5152379,1
76561198105611904,301,4,4,0,0,0,0,3,1,5,4,3,144.4488333,6,0,69.12474223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2299.83276,0
76561198273962400,555,4,1,0,0,3,0,3,1,5,4,4,124.4568667,4,0,62.13615181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1625.509149,3
