ID,damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled
7.65612E+16,161,1,1,0,0,0,0,1,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,911.3793924
7.65612E+16,188,2,0,2,0,0,0,2,0,5,2,3,6.595,3,0,93.35258521,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,761.1179524
7.65612E+16,214,2,2,0,0,0,0,2,0,4,2,3,1477.6792,3,1,1503.21651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,847.0524478
7.65612E+16,397,3,2,1,0,0,0,3,0,4,3,3,718.00835,4,0,605.2384947,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520.4405651
7.65612E+16,152,1,1,0,0,0,0,1,0,3,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1440.826217
7.65612E+16,175,1,1,0,0,0,0,1,0,3,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.2621217
7.65612E+16,452,4,4,0,0,0,0,3,1,5,4,2,406.0769,4,0,393.8819095,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,620.9878602
7.65612E+16,590,8,0,2,6,0,0,7,1,5,8,1,217.6517714,7,3,183.0302571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.659542
7.65612E+16,86,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.2453519
7.65612E+16,191,2,2,0,0,0,0,1,1,2,2,1,60.5412,2,2,188.51429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,854.1096552
7.65612E+16,44,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022864129
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.65612E+16,57,1,0,0,0,1,0,0,1,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,564.0043834
7.65612E+16,146,1,1,0,0,0,0,1,0,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.87691732
7.65612E+16,91,1,1,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.4688427
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.987160128
7.65612E+16,21,1,1,0,0,0,0,0,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.0863668
7.65612E+16,388,3,0,0,0,3,0,2,1,5,3,1,14.0162,2,1,25.75345259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,269.0900183
7.65612E+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.65612E+16,100,1,1,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.9126568
7.65612E+16,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,940.9157784
7.65612E+16,234,2,1,0,0,0,0,1,1,5,2,3,306.322,1,1,606.3114436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1312.061107
7.65612E+16,173,2,2,0,0,0,0,0,2,5,2,3,17.918,4,1,190.2362108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,737.4628274
7.65612E+16,144,1,0,1,0,0,0,1,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,662.6413956
7.65612E+16,146,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.4591847
7.65612E+16,112,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.0813983
7.65612E+16,300,3,1,2,0,0,0,1,2,5,3,0,162.6675,2,1,125.93274,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,749.1172896
7.65612E+16,295,2,2,0,0,0,0,1,1,4,2,1,362.8909,4,0,313.0053898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,428.9590902
7.65612E+16,318,3,3,0,0,0,0,2,1,5,3,1,203.77195,4,1,178.6490503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,469.2418992
7.65612E+16,615,7,7,0,0,0,0,5,2,5,7,1,61.13325,0,0,52.12044695,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1585.706538
7.65612E+16,381,2,2,0,0,0,0,1,1,5,2,3,497.556,5,1,593.8830503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,646.0357171
7.65612E+16,414,7,1,5,1,0,0,5,2,4,7,2,270.0395833,5,3,245.7474983,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1289.447068
