damage,kills,rifle,sniper,pistol,smg,grenade,preplant kill,postplant kill,fast_kill_rating (first_kill),total kills,total deaths,avg kill time,assists,alone kills,Avg Distance to A bomb (on kill),times in catwalk_box,times in topmid_box,times in chair_box,times in midlane_box,times in underpass_box,times in window_box,times in stairs_box,times in tetris_box,times in sandwhich_box,times in Asite_box,times in firebox_box,times in jungle_box,times in connector_box,times in opening_box,times in opening2_box,times in A_main_box,times in T_ramp_box,times in hell_box,times in palace_box,times in pillars_box,times in ticket_box,times in CT_ramp_box,alone_death,total_distance_traveled
239,3,0,0,0,3,0,3,0,5,3,3,0.14080000000001291,2,0,3.5480797689512187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,326.3830967707389
387,4,1,1,0,2,0,4,0,4,4,1,147.01430000000002,4,1,62.521212775764326,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1233.7071515471944
310,4,0,0,0,4,0,3,1,3,4,2,120.08723333333334,5,1,55.85993143906967,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1325.849252165486
515,6,6,0,0,0,0,6,0,5,6,2,49.67638000000004,4,0,49.5481533243634,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1671.253472667432
326,5,5,0,0,0,0,5,0,5,5,2,50.355275000000006,2,0,66.71445963055206,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1159.509937067243
126,0,0,0,0,0,0,0,0,0,0,4,0.0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,670.5152379100979
301,4,4,0,0,0,0,3,1,5,4,3,144.44883333333334,6,0,69.12474222646593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2299.832760217909
555,4,1,0,0,3,0,3,1,5,4,4,124.45686666666666,4,0,62.13615180698579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1625.5091492170648
17,0,0,0,0,0,0,0,0,0,0,2,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.70889810055763
302,2,1,0,0,1,0,2,0,4,2,9,335.92099999999994,2,0,476.94647867908316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1472.884444114635
336,3,1,0,1,1,0,3,0,5,3,8,364.8760000000001,3,1,316.9656060465976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1970.1864399906262
515,6,2,2,1,0,0,5,1,4,6,7,173.16792,6,0,221.9423060184396,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2845.619061231595
754,8,8,0,0,0,0,4,4,5,8,7,128.57410000000002,12,3,131.33610919007342,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,2676.0544783799287
697,6,4,1,0,1,0,6,0,4,6,6,147.1011,5,5,39.31073618968985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3480.2652760746137
540,3,1,2,0,0,0,3,0,5,3,7,367.56515,7,0,302.2836220027824,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1682.9684325500082
375,2,2,0,0,0,0,2,0,5,2,7,116.26260000000002,6,2,250.7312943917309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2828.780394163354
673,7,4,3,0,0,0,4,3,4,7,4,148.70533333333333,6,1,154.8538595726575,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,4008.3620454685015
769,6,6,0,0,0,0,5,1,3,6,5,171.7672,9,2,150.11992826834745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3401.6187495640906
1001,10,9,1,0,0,0,9,1,4,10,4,85.34323333333333,10,4,19.34785402932585,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,4,0,0,0,0,2,2195.5153503010806
995,10,8,0,2,0,0,8,2,5,10,6,72.01526666666665,1,0,44.45090091486994,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,2,3969.039055856441
1072,9,7,0,2,0,0,8,1,5,9,7,192.2336125,12,1,208.89533743719278,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3203.9936417871904
1008,11,1,9,1,0,0,9,2,5,11,6,165.76865,13,3,156.6259088409184,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,2,0,0,0,2,3342.0301536124302
1000,11,8,0,1,2,0,5,6,5,11,4,185.02438,12,5,216.91972049510292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5053.412711372086
410,3,0,0,0,3,0,2,1,4,3,8,650.85235,8,1,578.3071059098623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2753.029525545083
667,5,2,0,2,0,0,3,2,4,5,6,278.318,9,0,167.13338586189195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3296.925910229936
889,7,5,0,0,2,0,7,0,4,7,8,275.3954666666668,12,0,255.02241265710282,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,4038.9205909620773
895,9,0,4,4,1,0,8,1,5,9,8,230.022325,9,0,206.96562745317357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,3167.664111415811
447,3,3,0,0,0,0,2,1,5,3,7,524.142,8,0,512.2509590232312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3627.3965280387856
497,5,3,1,1,0,0,4,1,3,5,8,412.88975,9,0,249.91290899193893,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3478.120939616398
693,5,3,0,2,0,0,2,3,4,5,6,376.70709999999997,6,2,420.4747883364136,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,4601.1599967063485
1141,14,9,2,3,0,0,10,4,5,14,4,175.49041538461537,12,4,164.13021282898833,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,4613.027507922323
1039,14,9,3,2,0,0,8,6,5,14,6,164.6046076923077,12,2,139.33545721636926,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4802.795375540607
911,7,5,0,0,2,0,6,1,4,7,13,363.9774333333333,11,2,376.3047403012727,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4492.652590868231
744,6,1,1,1,3,0,4,2,5,6,8,355.1201,10,0,304.33978800477615,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,3098.783261835222
618,14,3,1,0,10,0,14,0,4,14,7,162.84960769230767,7,1,131.68386287220275,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3856.28083574156
1205,12,10,1,0,1,0,11,1,5,12,17,189.00365454545454,12,3,182.57628403592992,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4105.077695118348
1257,12,11,1,0,0,0,12,0,4,12,11,204.67017272727273,16,4,192.15756439868218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,7,4954.003860656243
648,8,6,0,0,2,0,7,1,3,8,13,281.64702857142856,6,1,252.99673174287275,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,5,3204.6018968191133
655,7,5,0,0,2,0,6,1,3,7,12,192.91174999999998,6,1,202.23805617121755,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,3393.0153602669634
76,0,0,0,0,0,0,0,0,0,0,3,0.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1590.7209504340208
522,5,0,5,0,0,0,5,0,5,5,5,300.39275,4,2,279.896625378296,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1745.7152294108378
707,8,1,6,1,0,0,8,0,5,8,3,170.09019999999995,7,1,96.7212030074425,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2200.693239971193
973,9,2,5,2,0,0,6,3,4,9,4,150.899675,13,1,105.44919321083214,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4631.513249359586
732,7,6,0,0,1,0,7,0,5,7,3,129.76410000000007,9,0,117.3355922183128,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2998.2429576579575
207,1,0,1,0,0,0,0,1,5,1,4,0.0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2192.441719147122
506,4,3,1,0,0,0,3,1,5,4,7,186.36846666666668,8,3,30.44325738835471,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2456.1316505841137
270,2,1,1,0,0,0,2,0,4,2,6,14.315200000000004,5,0,6.524823179631653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2129.7392784061585
564,5,4,0,1,0,0,4,1,5,5,5,134.072175,7,2,260.2239154393335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2650.982816655967
612,6,3,2,1,0,0,6,0,5,6,5,187.09792,6,0,183.0586411702828,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2912.418598019488
311,2,0,0,0,0,0,2,0,5,2,7,10.876999999999953,2,0,182.52081932093776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2246.8562683840414
481,3,3,0,0,0,0,3,0,4,3,4,278.5590000000002,5,0,294.4248194678346,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,565.0110614234469
299,3,0,2,0,0,1,3,0,4,3,2,287.9192,4,2,235.78843113052432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,562.2481460740538
302,2,1,1,0,0,0,2,0,3,2,2,545.9279999999999,3,0,676.5842155274919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829.803779870518
295,4,3,0,0,0,0,3,1,4,4,2,358.04466666666667,3,4,514.6539637645919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1069.0091653850366
416,5,2,3,0,0,0,4,1,5,5,2,153.89075000000003,4,0,91.3298962295339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,902.3858421812606
201,2,1,0,0,1,0,1,1,3,2,3,860.4144,4,0,786.4302956062584,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2480.055350895871
351,4,0,3,1,0,0,3,1,5,4,3,371.0571,4,0,340.7905755215101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,879.204350071509
271,2,2,0,0,0,0,2,0,5,2,4,8.970199999999977,3,0,93.13507771378698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1011.0694644264065
280,2,0,2,0,0,0,2,0,5,2,4,19.314999999999827,2,0,43.89920156081047,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.1923167432496
284,2,2,0,0,0,0,2,0,4,2,3,548.0840000000001,1,0,504.7150722686535,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1426.3257890281259
1259,12,10,2,0,0,0,9,3,5,12,11,243.69748181818184,15,3,229.8075670497018,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,5963.236190183118
1812,15,13,1,0,1,0,10,5,4,15,9,168.55616428571426,19,8,196.3699597548121,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,2,5,5947.698074713664
2006,19,18,0,0,0,1,15,4,4,19,9,146.25025555555555,16,3,144.34835411007174,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,3,8845.295244710778
578,6,2,2,0,0,0,6,0,5,6,14,461.49868000000004,8,2,467.9969694491401,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,6229.489630785327
634,5,0,4,1,0,0,4,1,5,5,13,38.548,12,0,19.300531901481833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4240.736919897495
1696,13,10,1,0,1,0,12,1,5,13,11,223.85815833333334,19,1,198.0273124255189,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,7088.75059718501
1087,9,9,0,0,0,0,7,2,3,9,11,327.4299625000001,14,1,332.0080193665996,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4627.942096519483
1592,14,8,1,3,1,0,12,2,3,14,11,203.53423846153845,17,4,172.17906401497885,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,6655.735673010916
1311,13,11,1,1,0,0,11,2,5,13,10,210.57917500000008,17,3,207.08130264441118,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,3,0,0,0,2,4767.560759303386
798,7,5,0,1,1,0,6,1,5,7,14,397.4654833333334,6,2,401.83050991924614,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,4,4462.949289715428
1082,10,8,0,0,1,1,10,0,4,10,6,206.9145666666667,13,1,168.38883620898181,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771.1797894622805
757,11,3,5,0,2,1,10,1,4,11,6,182.62804999999997,9,1,187.80471445396503,0,0,0,1,0,3,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3137.383245011324
767,9,8,0,0,1,0,8,1,5,9,6,225.18235000000007,10,1,206.22416669489596,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3263.2979039347174
482,2,0,0,0,2,0,2,0,5,2,6,230.9929999999997,8,0,525.3586677646828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4054.0638343158425
728,4,1,2,0,1,0,4,0,5,4,7,579.4888,9,0,544.8319223676091,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2471.160476843916
958,11,8,1,1,1,0,9,2,5,11,7,182.10599000000002,11,6,137.46541528803127,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,2,2966.860295963535
898,10,2,8,0,0,0,10,0,5,10,7,209.0890111111111,11,1,178.26237926363706,0,1,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,3922.8493292121298
523,4,3,1,0,0,0,4,0,5,4,8,306.93833333333333,6,0,205.73267460326656,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2337.026055375005
417,2,2,0,0,0,0,2,0,5,2,8,1319.0280000000002,5,0,1211.5929592335324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2232.340114283842
359,4,3,0,0,1,0,2,2,5,4,6,395.805,2,3,328.30571564439094,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2456.881252955243
2370,21,16,2,0,3,0,19,2,5,21,12,111.67909,25,2,111.93490769681202,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,2,6723.758960150713
515,4,4,0,0,0,0,3,1,5,4,12,596.8996333333333,11,0,611.0733077882992,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4273.270813260385
775,7,6,0,1,0,0,7,0,4,7,12,395.3764833333333,13,1,443.6815526876862,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5678.058452449885
1524,16,4,11,1,0,0,13,3,4,16,11,142.96993333333336,18,4,131.18509054910496,0,1,0,0,0,2,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2,5338.127350168696
1302,12,6,5,1,0,0,9,3,5,12,15,196.01337272727275,12,4,197.8609480344794,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,1,2,0,0,0,5,7132.328919384037
1060,8,8,0,0,0,0,8,0,5,8,14,318.0113714285714,13,0,228.26343682752645,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3200.1865150145964
1608,15,8,5,2,0,0,13,2,5,15,13,153.0793571428572,20,1,167.829085390879,0,2,0,0,0,4,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,2,5404.089530348668
1509,14,13,0,0,1,0,13,1,4,14,14,160.67763076923077,16,4,155.82863741449398,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,4,3686.674157073813
1133,10,8,0,0,2,0,10,0,5,10,8,220.86004444444447,11,2,266.24502359963043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,5850.649853027168
1290,15,10,0,0,5,0,13,2,5,15,11,170.24425,3,3,193.52737772328533,0,0,0,0,1,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,1,5240.387209630448
1655,13,12,0,0,1,0,12,1,5,13,11,187.61658333333332,17,2,163.15153549368873,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,4900.439643390068
1124,10,6,4,0,0,0,10,0,5,10,9,250.3116666666667,12,2,252.1473730772442,1,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,5342.0358363132445
1162,10,9,1,0,0,0,8,2,4,10,9,251.07565555555564,19,2,260.4328373211082,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,3,5450.681107512869
1207,13,12,0,1,0,0,11,2,4,13,13,154.30564166666667,11,2,145.67057724614267,1,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,5629.194205763737
1200,12,11,0,1,0,0,9,3,3,12,9,206.92566363636362,13,3,195.37616979939537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4105.616052013427
988,7,1,5,0,1,0,7,0,4,7,11,382.3901333333333,14,0,379.52983180523876,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6220.529203949813
856,6,6,0,0,0,0,5,1,4,6,13,450.9234399999999,14,0,420.33703363280955,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,5070.080847950212
