003218553373129179487_1555113029.dem,"[4, 9, 10, 20, 27]"
003220156233449209995_1172535415.dem,[9]
003228201746576703747_0895462729.dem,[4]
003228211174029918654_2045525464.dem,"[6, 7, 10]"
003228234049025736851_1126955760.dem,"[4, 6, 20]"
003228237188646830117_0669947481.dem,[7]
003228356307417301054_0525991835.dem,"[10, 11, 15]"
003228361323939102816_0955098034.dem,"[4, 15, 21]"
003228386756587946269_0971218300.dem,"[8, 22, 25]"
003228389155327180900_0236049525.dem,"[3, 22, 26]"
003228390866871648452_0903026146.dem,"[8, 15, 19]"
003228396553408348538_0551926587.dem,[15]
003228427047676149817_1986251323.dem,[9]
003228445123046015071_0909086421.dem,"[4, 5, 6, 9, 12, 15, 23]"
003228448378631225464_0137634418.dem,"[18, 26]"
003228462751739281570_0237284844.dem,"[8, 10, 25, 27]"
003228521708755353613_1156215388.dem,"[7, 10, 14, 19, 24, 26]"
003228534430448484583_1675258063.dem,"[7, 8, 14]"
003228554545927815501_0061120950.dem,"[5, 19, 27]"
003228567196753985691_1236579971.dem,"[4, 21]"
003228601788420587561_0855660310.dem,[10]
003228604844289818854_1695009044.dem,[13]
003228605050448249213_1048440219.dem,"[12, 15, 20, 22]"
003228606665355952247_1271487854.dem,"[14, 15, 18, 22, 25, 27]"
003228610696182759735_1895811654.dem,"[7, 17, 19]"
003228611291035730108_1275483177.dem,[8]
003228616034827108564_0712246599.dem,"[4, 10, 11, 13, 20]"
003228616986162364633_1597459626.dem,"[8, 20]"
003228619487980814562_1327450967.dem,"[5, 10, 22]"
003228636429479313535_0866050187.dem,"[4, 6, 7, 13, 14]"
003228729340359344164_1974769991.dem,"[4, 23, 27]"
003228751687074185523_1069066587.dem,"[8, 20, 22, 23]"
003228783328098254973_1283797294.dem,[20]
003228783907918839902_1571370494.dem,"[8, 12, 19, 26]"
003228800660438777934_0872054010.dem,"[11, 19, 23, 29]"
003228800720568320115_1055389584.dem,"[4, 7, 11, 15]"
003228807158724296931_1649560985.dem,"[6, 14]"
003228814689949450316_0544919655.dem,[29]
003228816438001139883_1149904779.dem,"[4, 11, 18, 23, 28, 30]"
003228831949275529309_1441791041.dem,"[12, 14, 20, 21, 23, 30]"
003228864079925870632_1548739157.dem,"[10, 13, 18]"
003228894488294326370_1067397527.dem,"[4, 6, 8, 13, 14, 19]"
003228937047125262585_1299621840.dem,"[7, 10]"
003228938468759437440_1839268385.dem,"[19, 20]"
003228952738788278683_0379199320.dem,"[4, 5, 6, 13]"
003228962271468191815_0902814689.dem,"[19, 25]"
003228981218716418246_1442609727.dem,[9]
003228985206593552454_1649111154.dem,"[4, 9, 13]"
003229048793584369755_2069990217.dem,"[6, 8, 9, 19]"
003229088015225716893_0523492754.dem,"[14, 15, 22, 23]"
003229098653859709124_1362854458.dem,"[7, 13]"
003229122602597351783_0402003530.dem,"[3, 6, 9]"
003229127535367291038_0988727861.dem,"[19, 28]"
003229131647798477122_1061457453.dem,"[10, 19]"
003229138242720759922_0767242198.dem,"[4, 9, 14, 19, 24, 25]"
003229145002999283763_0086893393.dem,"[19, 26]"
003229158229351071854_0975056966.dem,"[25, 29]"
003229161044702134442_2053951445.dem,"[8, 14]"
003229168831477841933_1881140444.dem,"[10, 15]"
003229184426504093797_1368368255.dem,"[4, 5, 10, 19]"
003229197382272942254_0781338421.dem,"[4, 11, 19, 20, 29]"
003229258634949034087_1529467382.dem,"[5, 9, 21, 26]"
003229287984608051257_0323793142.dem,[11]
003229289019695169564_0191213544.dem,"[20, 21, 23]"
003229315427301589208_1056392650.dem,"[4, 13, 19]"
003229344373233680668_1310474406.dem,"[5, 15, 19]"
003229350740522696888_0052187465.dem,"[19, 21]"
003229353678280327230_1691733833.dem,"[9, 19, 21, 22]"
003229427994099450073_1441425137.dem,"[9, 10, 21, 25, 26]"
003229452606409539656_0951611062.dem,"[18, 22]"
003229453976504107160_0617177514.dem,"[13, 24]"
003229458106115162393_0161356099.dem,"[13, 15]"
003229468321694875731_0337602080.dem,"[5, 11, 15, 20, 21]"
003229468368939516218_0397926130.dem,"[19, 24]"
003229484064897499153_1970851280.dem,"[4, 9, 12, 14]"
003229520602184286388_1954319761.dem,"[6, 13, 18]"
003229523473369923943_1697161991.dem,"[4, 11]"
003229528532841398722_2059935382.dem,"[8, 9, 11, 12, 15]"
003229529836363972856_1413899635.dem,"[4, 11, 23, 25, 27]"
003229538926662254704_1429272692.dem,"[4, 5, 9, 12, 13]"
003229540631764271280_0606473841.dem,[4]
003229547381305376770_2087454223.dem,"[3, 7, 9, 10, 12, 23, 28]"
003229647887835070622_1859892571.dem,"[10, 14]"
003229664328969879732_1500722436.dem,"[5, 9, 20]"
003229734487260659917_1237904587.dem,"[4, 7, 14, 26]"
003229856640425525371_0920471988.dem,"[2, 6, 8, 14, 21, 22, 23, 30]"
003229875514659307610_0134002915.dem,"[13, 22, 26]"
003229890862724939995_1978374142.dem,"[6, 9, 17, 22, 26, 30]"
003229894457612566679_0443040516.dem,"[4, 11, 12, 22, 23, 26]"
003229897696017907904_0341782541.dem,[9]
003229933505307738296_0779890107.dem,[21]
003230103729894064207_2120312026.dem,"[11, 13]"
003230142214948519948_1783939569.dem,"[11, 14, 19]"
003230234971209728235_1707577783.dem,"[4, 11, 22]"
003230235353461817529_2041490746.dem,"[14, 21]"
003230322120391131209_1459415025.dem,"[4, 13, 14, 20, 22]"
003230325831242874976_1738993756.dem,"[4, 7, 11, 13]"
003230329486260043858_0194475765.dem,"[4, 10, 13, 14, 15, 19]"
003230353512307097624_1341435656.dem,"[3, 5, 7, 9, 19]"
003230405790649024793_1796671765.dem,[6]
003230445519096512655_0029871347.dem,"[7, 27]"
003230449253570576761_1768809695.dem,"[9, 11, 21, 27]"
003230454628722147650_1571018670.dem,"[3, 19, 20, 21]"
003230460603021656220_0138409606.dem,"[4, 6, 9, 19, 21, 25]"
003230467874401288429_1357833445.dem,"[4, 14, 20, 25]"
003230468336110272741_1150343877.dem,"[4, 6, 24, 26]"
003230473790718738445_0754259949.dem,"[3, 4, 6, 8, 9, 11, 15, 22]"
003230474752791412836_2078092253.dem,"[19, 20, 21, 27]"
003230477379163914294_1751552736.dem,"[5, 19, 20]"
003230488415082381461_1131066131.dem,"[4, 7, 10, 19]"
003230495851818254441_0480953159.dem,"[15, 19]"
003230542420001161293_1043771295.dem,"[4, 18, 22, 23, 24, 26, 28]"
003230651370436558937_1102918122.dem,"[6, 9, 11, 15]"
003230782341169283465_1513281864.dem,[25]
003230806852547641691_0063080041.dem,"[5, 8, 11, 22]"
003230808697236095294_0419394998.dem,"[9, 10]"
003230819750334431237_1908056786.dem,"[8, 10, 13, 23, 28]"
003230820235665735835_0863974679.dem,"[4, 8, 14]"
003230822200613273901_0735643351.dem,"[13, 14, 15, 19]"
003230827459800727748_1364416432.dem,[12]
003230829248654606510_0547833023.dem,"[7, 8, 13, 14, 15, 19, 21]"
003230836015375581249_0519799821.dem,[5]
003230836182879305925_1170162304.dem,"[9, 12, 15, 20, 23]"
003230836822829433051_1890824326.dem,"[4, 7, 20]"
003230837005365543057_2138133173.dem,"[4, 10, 14, 20]"
003230838680402788577_2134503095.dem,"[13, 19]"
003230846862315487260_2035771051.dem,"[4, 18]"
003230848573859954701_1646177655.dem,"[7, 8, 9]"
003230852499460063260_1449904865.dem,"[6, 9, 12]"
003230859453012115545_1606747314.dem,"[6, 9, 15]"
003230883773264429132_0271463991.dem,"[4, 8, 9, 28, 30]"
003230917527412408476_1743096791.dem,"[5, 8, 10, 21]"
003230938551277322383_1985481354.dem,"[7, 15]"
003230950371027321087_1810937475.dem,[11]
003231014076129738792_0029594567.dem,"[9, 11, 19]"
003231016882890866951_0864233672.dem,"[4, 6]"
003231024714763730998_0079553496.dem,"[4, 7, 9, 12]"
003231039210278355063_0652676609.dem,"[4, 9, 19, 20, 23, 25]"
003231042032071868470_1851416668.dem,"[4, 7]"
003231051279136456866_1709982850.dem,"[6, 7, 8, 15, 22]"
003231061630007640180_1462672830.dem,"[8, 10, 11]"
003231066268572319898_1085033356.dem,"[7, 10]"
003231155687643939010_1591320664.dem,[15]
003231160025560907991_0149094289.dem,"[5, 9, 11, 25]"
003231175732256309537_1977796450.dem,[12]
003231178188977602843_0930159941.dem,"[7, 9, 19, 21]"
003231182675070943557_1351432055.dem,"[18, 19]"
003231184023690674329_0999407131.dem,"[5, 20, 24, 26]"
003231187844064084415_1553873297.dem,[26]
003231187942848332167_0424476464.dem,"[9, 14, 23]"
003231194365971923252_0664749266.dem,"[3, 8, 19, 24]"
003231197159848149275_0330617105.dem,"[3, 11, 13]"
003231199204252582112_0109347364.dem,"[8, 21]"
003231207618093515024_2041886109.dem,"[5, 10, 14, 15, 19, 21]"
003231208322468151495_0178245005.dem,"[15, 18, 25, 26]"
003231215559488045237_0930773334.dem,"[6, 7, 8, 19]"
003231237828893474918_1664777690.dem,"[6, 14, 19, 25]"
003231347786498703549_0419246967.dem,"[15, 25]"
003231363514668941477_0524559842.dem,"[8, 10, 18]"
003231366299955232894_0709353345.dem,"[8, 10, 11, 14, 19]"
003231366841121112077_0458380717.dem,"[12, 19]"
003231382114024816916_1732159936.dem,[18]
003231513226491461749_0053338088.dem,[19]
003231530303281430793_2087487786.dem,"[5, 13, 19]"
003231538098647072816_1497682592.dem,[20]
003231538465866776779_0589657126.dem,"[8, 15, 27, 28]"
003231551000728830240_0111516009.dem,"[15, 24]"
003231564375256989924_2007399663.dem,"[10, 14, 19, 30]"
003231566527035605148_0522026361.dem,"[5, 7, 9]"
003231571429740773500_2027933101.dem,"[4, 19, 24, 26]"
003231601028507893844_1769437639.dem,"[3, 9, 19]"
003231626416059580432_1192632196.dem,"[3, 4, 22]"
003231629575008026648_0387190931.dem,"[13, 15]"
003231639092655554622_0872505076.dem,"[3, 6, 10, 14, 19]"
003231661087183077452_1307658311.dem,"[19, 21, 25]"
003231666724327653421_1577645881.dem,"[5, 15, 22, 25]"
003231694317345046784_0286050456.dem,"[11, 26]"
003231727442280317211_1900957652.dem,"[14, 23]"
003231729710023049450_1961308984.dem,"[6, 28]"
003231734445224493399_2062467430.dem,"[4, 5, 20, 22]"
003231740894117888240_0834991546.dem,"[5, 11, 13, 28]"
003231751947216224335_1649229571.dem,"[5, 7]"
003231760086179250377_0499062518.dem,"[4, 11]"
003231760760489115998_0387071883.dem,"[12, 25]"
003231767819267866805_1962092098.dem,"[7, 18]"
003231777927473397961_1325587695.dem,"[20, 21]"
003231782158016184336_0423274176.dem,[13]
003231812048841080882_0183650166.dem,"[3, 8, 15]"
003231816912891543597_2122112378.dem,"[10, 12, 20]"
003231823314540298315_0558817142.dem,"[7, 8, 15]"
003231858241214349481_0095254673.dem,"[5, 10, 13, 22]"
003231899926019440661_0802810664.dem,"[8, 10, 11, 12]"
003231905539541696612_0189618628.dem,[7]
003231914745804095731_0365313861.dem,"[14, 22]"
003231924143192539404_1435884678.dem,"[9, 11, 22]"
003231949101247496274_0660304882.dem,"[9, 13, 14]"
003231954429154427030_0535707777.dem,"[4, 18]"
003231959842960703598_1975531606.dem,"[10, 13, 19, 21, 22, 23]"
003232094644804256058_0134799929.dem,"[14, 15]"
003232095707808661554_1220795065.dem,"[6, 12]"
003232122987293442339_2066208909.dem,"[5, 9, 23, 24, 25]"
003232126990202962145_1707143649.dem,"[6, 18, 24]"
003232135230097719565_0688054627.dem,[4]
003232135923734937874_0525182819.dem,"[5, 14, 15, 19, 29]"
003232174700847169551_1343051935.dem,"[8, 10, 25]"
003232183144752873626_1359100990.dem,"[3, 11, 13, 23, 28]"
003232271548064727334_1531439401.dem,"[4, 22, 23, 28]"
003232281110809411973_1396827383.dem,"[5, 7, 11]"
003232286891835392244_0285639759.dem,"[10, 12, 21]"
003232288856782930201_1899751973.dem,"[5, 6, 12, 15]"
003232299491121954821_0275176129.dem,"[10, 13]"
003232305499781202310_1290940739.dem,"[11, 14, 19, 24]"
003232311972296917161_0581785717.dem,"[5, 20, 28]"
003232313342391484418_1752886893.dem,[21]
003232319378968018963_0177564829.dem,[25]
003232321449142255673_0260854648.dem,"[6, 8, 9, 11, 12, 14, 19, 20, 25]"
003232328351154700429_0844287010.dem,"[9, 23]"
003232328368334569518_0111741328.dem,"[3, 4, 6, 9, 13, 21, 28]"
003232356755920912520_0660245209.dem,[20]
003232411568293544047_1239972072.dem,[11]
003232460945385062709_1709479263.dem,"[5, 6, 9, 10, 14, 20, 24, 28]"
003232462122206101751_1440854554.dem,"[9, 10, 17, 23]"
003232466138000523316_1990386183.dem,"[9, 15]"
003232469436535406617_2136361078.dem,[7]
003232481372249522487_1001877360.dem,"[4, 5, 7, 13]"
003232482922732716248_0642540469.dem,"[4, 7, 20]"
003232494411770233066_1301244840.dem,"[4, 5, 6, 9, 27]"
003232498019542761550_2055650743.dem,"[11, 19, 21, 22]"
003232501500613755025_0281955752.dem,"[4, 6, 21, 29]"
003232504247245340886_2096700840.dem,"[10, 13, 15, 30]"
003232509313159266600_1384015722.dem,[23]
003232511688276181261_1825657478.dem,[5]
003232516807877197827_0465901697.dem,[9]
003232517314683338812_1264328304.dem,"[4, 9, 10, 11, 15]"
003232524757861662880_1651074647.dem,"[8, 21, 22]"
