"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
997,1,6,0,0,0,8,1,9,10,320.394025,10,4,332.1174317,0,5531.528827,"3"
1732,7,6,1,2,0,14,3,17,14,128.4660313,19,7,139.0979963,6,10292.12868,"4"
1312,11,0,2,0,0,13,0,13,16,192.0914583,15,0,177.5792963,2,8094.854016,"2"
1098,5,3,1,3,0,11,1,12,6,147.4152455,13,10,188.3085436,2,4371.682597,"4"
986,8,0,1,1,0,10,0,10,10,175.6100333,4,0,236.6185696,1,4436.819936,"0"
334,3,0,0,0,0,3,0,3,6,721.244,4,0,478.3932293,1,2578.663214,"0"
1023,10,0,0,0,1,10,1,11,9,175.53276,11,0,160.2542934,1,5689.934784,"1"
922,5,0,1,3,0,8,1,9,10,198.331275,8,4,181.2543458,3,3970.097617,"2"
1073,10,0,0,0,0,6,4,10,11,142.8187222,11,6,88.78120254,6,5028.283063,"4"
953,2,1,0,7,0,10,0,10,7,221.9568111,8,0,186.7349271,0,3314.967446,"0"
842,8,0,0,1,0,7,2,9,6,217.259425,11,1,193.1303627,0,2733.140219,"0"
1238,3,10,0,0,0,10,3,13,7,200.442525,12,4,195.1752419,3,4698.458471,"3"
876,2,6,0,0,0,6,3,9,9,212.280675,8,2,252.2085556,4,4036.611631,"3"
719,7,0,0,0,0,7,0,7,9,314.6820167,5,0,317.277333,3,3689.771564,"2"
1397,9,0,1,5,0,11,4,15,1,87.441,13,3,65.03445805,0,4637.831736,"1"
508,1,1,2,0,0,3,1,4,6,357.4230333,5,0,439.4865076,0,1981.148611,"0"
672,2,2,0,0,0,4,0,4,7,264.9468,7,0,233.4012808,2,3104.212055,"0"
1075,11,0,0,0,0,9,2,11,5,134.87053,11,0,188.3038286,0,2402.958458,"1"
962,0,10,0,0,0,9,1,10,4,114.1306111,8,0,95.10721616,1,1542.559196,"3"
976,6,0,0,0,0,7,1,8,24,253.7276286,13,0,326.5753508,7,7061.440603,"4"
441,1,0,1,1,0,2,1,3,7,199.5655,5,0,66.79096669,1,2375.184388,"1"
746,1,8,0,0,0,8,1,9,5,128.8150375,3,2,78.81849642,2,3634.648215,"3"
438,3,1,0,0,0,4,0,4,10,725.548,7,0,728.2850988,2,3331.070776,"4"
593,3,4,0,0,0,5,2,7,9,262.22535,7,1,222.8110151,3,3017.664971,"2"
523,2,0,0,2,0,2,2,4,4,77.44133333,7,2,31.38307972,2,1384.879905,"1"
887,10,0,0,0,9,16,3,19,7,95.96643889,1,3,70.28526203,1,4335.019562,"1"
730,2,2,3,0,0,4,3,7,4,144.5745167,8,4,177.7845848,2,2380.297711,"2"
417,1,2,1,3,0,4,3,7,4,185.8644667,7,0,104.4165761,0,3375.90459,"0"
677,3,3,0,0,0,3,3,6,3,226.44384,7,0,120.1168747,1,3223.490518,"0"
